CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DF,Finishing,DF0062,ไพรเมอร์ SOIF,003 STORE POF241111-002,,540.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0063,ฟิล์ม 0.17mm MYKA#PP-TGS-001K W1260mm (ไม่มีกาว),22043 รพ.รามคำแหง public zone ชั้น 1 POF230318-012,,450.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0064,ฟิล์ม 0.17mm MYKA#PP-TGS-003K W1260mm (ไม่มีกาว),22035 รพ.รามคำแหง 1 OPD NURSRY ชั้น 3,,450.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0065,ฟิล์ม 0.17mm MYKA#TGS-004K W1260mm (มีกาว),24024 SSPINE POF240829-005,,520.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0066,ฟิล์ม 0.17mm MYKA#TIN-004K W1260mm (มีกาว),22035 รพ.รามคำแหง 1 OPD NURSRY ชั้น 3 POF230106-008,,495.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0067,ฟิล์ม 0.13mm MYKA#TIN-004K W1260mm (ไม่มีกาว),22035 รพ.รามคำแหง 1 OPD NURSRY ชั้น 3,,415.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0068,ฟิล์ม 0.17mm MYKA#PP-TIN-005K W1260mm (ไม่มีกาว),22028 The Room Rama 4 POF230116-002,,415.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0069,ฟิล์ม 0.17mm MYKA#PP-TGS-005K W1260mm (ไม่มีกาว),21075 รพ.รามคำแหง 2 POF221015-006,,450.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0070,ฟิล์ม 0.17mm MYKA#TGS-005K W1260mm (มีกาว),22028 The Room Rama 4 POF230116-002,,520.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0071,ฟิล์ม 0.17mm MYKA#TIN-006K W1260mm (มีกาว),24030 Legacy Clubhouse POF241121-001,,495.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0072,ฟิล์ม 0.17mm MYKA#PP-TIN-006K W1260mm (ไม่มีกาว),24030 Legacy Clubhouse POF241106-002,,425.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0073,ฟิล์ม 0.13mm MYKA#PP-TIN-007K W1260mm (ไม่มีกาว),22028 The Room Rama 4 POF221015-007,,395.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0074,-,,,,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0075,ฟิล์ม 0.13mm MYKA#TIN-008K W1260mm (มีกาว),,,495.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0076,ฟิล์ม 0.13mm MYKA#PP-TIN-008K W1260mm (ไม่มีกาว),รพ.ลานนา 24048-A2427400 งานติดตั้งหัวเตียง POF241119-004,,425.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0077,ฟิล์ม 0.13mm MYKA#TIN-009K W1260mm (มีกาว),,,495.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0078,ฟิล์ม 0.13mm MYKA#PP-TIN-009K W1260mm (ไม่มีกาว),,,425.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0079,ฟิล์ม 0.17mm MYKA#TGS-010K W1260mm (มีกาว),24024 SSPINE,,520.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0080,ฟิล์ม 0.17mm MYKA#PP-TGS-010K W1260mm (ไม่มีกาว),,,450.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0081,ฟิล์ม 0.13mm MYKA#TIN-011K W1260mm (มีกาว),,,495.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0082,ฟิล์ม 0.13mm MYKA#PP-TIN-011K W1260mm (ไม่มีกาว),,,425.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0083,ฟิล์ม 0.13mm MYKA#TIN-013K W1260mm (มีกาว),,,495.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0084,ฟิล์ม 0.13mm MYKA#TIN-014K W1260mm (มีกาว),,,495.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0085,ฟิล์ม 0.13mm MYKA#TIN-031K W1260mm (มีกาว),,,415.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0086,ฟิล์ม 0.13mm MYKA#PP-TIN-028K W1260mm (ไม่มีกาว),,,425.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0087,ฟิล์ม 0.13mm MYKA#PP-TIN-029K W1260mm (ไม่มีกาว),,,495.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0088,ฟิล์ม 0.13mm MYKA#TIN-745K W1260mm (มีกาว),,,425.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0089,ฟิล์ม 0.13mm MYKA#PP-TIN-745K W1260mm (ไม่มีกาว),,,495.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0090,ฟิล์ม 0.13mm MYKA#TIN-903K W1260mm (มีกาว),,,1280.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0091,"ลามิเนต 0.8mm เมลาโทน 4300 SM  -0.8x1200x2400mm(4""x8"")",,,,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0092,กาวติดฟิล์ม--- Perma-flex#HD-613 - 5Kg,,,,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0093,กาวติดฟิล์ม--- Perma-flex#Epoxy-A - 4Kg,,,,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0094,กาวติดฟิล์ม--- Perma-flex#Epoxy-B - 4Kg,,,,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0095,"ลามิเนต 0.8mm lamitak HPL-SCA1109D-0.8x1200x2400mm (4""x8"")",,หจก. สิริพาณิชพงศ์ /  บริษัท ทีเอเค โพรดัคส์ แอนด์ เซอร์วิสเซส จำกัด,800.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0096,"ลามิเนต 0.8mm lamitak HPL-10622-M-0.8x1200x2400mm (4""x8"")",,แสงเจริญเฮ้าส์ซิ่งโปรดักส์ จำกั,803.74,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0097,"ลามิเนต 0.7mm Wilsonart D96-GM 335-0.8x1200x2400mm (4""x8"")",, บริษัท แสงเจริญเฮ้าส์ซิ่งโปรดักส์,752.00,,,,,,,,,,,,,,,,,,,
